"","cbsa_code","cbsa_name","cbsa_size","cbsa_emp","pct_struggle","n_struggle","n_all","n_kids","kids","kids_fam","fam","pct_kids_gap"
"1","10180","Abilene, TX","small metros",58400,0.528320313831043,10078.102,26676.146,21347.426,17.9351469038462,20.9551781153846,13.5189945384615,0.456783321917808
"2","10420","Akron, OH","large metros",296361,0.429201437353369,28905,85441,54756,21.0277423269231,21.0277423269231,12.5451728269231,0.288300417396351
"3","10500","Albany, GA","small metros",46278,0.599513382184693,9234.09,21923.218,17591.864,23.261218627093,20.6469304423077,13.9153104807692,0.47372872639267
"4","10540","Albany, OR","small metros",36602,0.391550663645193,4201.803,16584.876,7440.15,17.5862145894555,16.7967929807692,13.6449644423077,0.453113928200645
"5","10580","Albany-Schenectady-Troy, NY","large metros",353006,0.391499748897644,36448.425,110966.77,69103.85,24.9834210089103,24.6340445718956,15.1672079768429,0.314348113063234
"6","10740","Albuquerque, NM","large metros",303614,0.454493998290002,40344.236,113792.074,75590.066,20.4020703641868,20.8054709423077,12.1965650192308,0.374791920003689
"7","10780","Alexandria, LA","small metros",47260,0.509153610006271,9095.682,18517.108,16596.62,20.3086069835582,20.0893302307692,17.2019203807418,0.39181354210749
"8","10900","Allentown-Bethlehem-Easton, PA-NJ","large metros",331950,0.450373409077868,39243.287,112201.11,77186.055,23.3114575933907,23.0619381948378,15.4722905,0.338006055128784
"9","11020","Altoona, PA","small metros",52981,0.486735486735487,6419.64,14454.072,12028.224,20.1088472346667,20.9159751346154,13.3084356089962,0.272816141635681
"10","11100","Amarillo, TX","midsized metros",95807,0.480480462226215,13990.731,36009.244,29001.6,23.3997992821729,22.0328714004764,13.3957239615385,0.375851910611959
"11","11180","Ames, IA","small metros",31727,0.294451805542596,3155.64,21325.515,5784.315,20.6493470192308,20.6493470192308,14.6495625961538,0.672156680429918
"12","11260","Anchorage, AK","midsized metros",162723,0.521367918086064,19701.783,68708.38,47182.144,28.2929605850485,28.0382254965263,17.6770213461538,0.422241354940605
"13","11460","Ann Arbor, MI","midsized metros",152087,0.297395124365796,9613,49440,17600,21.9266902382943,21.9835549038462,15.7585982692308,0.325077094031706
"14","11500","Anniston-Oxford-Jacksonville, AL","small metros",36301,0.338202573280449,3496,10940,7368,19.5340372115385,19.5340372115385,13.1226244615385,0.301369108289028
"15","11540","Appleton, WI","small metros",115721,0.392959430328843,10817.175,26811.251,24655.953,20.3830230379814,20.2512852403846,13.5662232692308,0.231688725469016
"16","11700","Asheville, NC","midsized metros",172341,0.507360162679579,23123.807,74747.129,43981.804,19.5798996662447,18.2248083202988,15.2894996153846,0.433716463290801
"17","12020","Athens-Clarke County, GA","small metros",65041,0.475483990856321,8576.901,38807.061,15510.242,20.0167342115385,20.0167342115385,13.3165791923077,0.596655355852462
"18","12060","Atlanta-Sandy Springs-Roswell, GA","very large metros",2352106,0.422441800604622,287453.945,849835.871,557995.836,22.0291171303783,22.7045699615385,16.0997183461538,0.361308491624102
"19","12100","Atlantic City-Hammonton, NJ","midsized metros",103653,0.523102138610094,13565.149,40709.479,27471.936,24.6988426923077,26.5287225400467,16.0033585384615,0.392747715936828
"20","12220","Auburn-Opelika, AL","small metros",46327,0.457459305252559,8178,28196,15288,19.9979349519231,13.29757675,14.09529575,0.608629956612774
"21","12260","Augusta-Richmond County, GA-SC","large metros",187081,0.507420070190931,30670.928,80450.175,58194.764,20.3525694615385,20.3525694615385,14.0655581923077,0.430028570512238
"22","12420","Austin-Round Rock, TX","very large metros",836997,0.386766440928236,96166.516,340506.024,201372.546,22.2328212788462,23.2722207560941,15.5238131346154,0.40681869110642
"23","12540","Bakersfield, CA","large metros",189762,0.596937989670079,58134,138584,124537,22.0041527610241,18.9123614903846,14.6153312307692,0.730304275882421
"24","12580","Baltimore-Columbia-Towson, MD","very large metros",1181547,0.353028715933,104549.976,309873.016,200529.712,24.956358199584,23.8618867788483,15.1779165384615,0.262260422987829
"25","12620","Bangor, ME","small metros",56958,0.432653373061349,11326,49594,20520,19.1989901166121,19.9866057115385,14.8510115384615,0.8707117525194
"26","12700","Barnstable Town, MA","small metros",78050,0.47430452786164,7704.552,25294.78,14530.155,27.022506687867,17.5226968173689,17.4740774423077,0.324084304932735
"27","12940","Baton Rouge, LA","large metros",343895,0.426729298675255,37264.998,108213.154,68839.089,21.759976215975,21.7189186153846,14.1612950384615,0.314669169368557
"28","12980","Battle Creek, MI","small metros",53335,0.444942243333693,5704.156,15669.648,11678.192,18.3513568365385,18.5219286695513,12.472434,0.293796718852536
"29","13020","Bay City, MI","small metros",29870,0.310481278132265,3496.289,10325.666,6763.651,18.4623453173077,18.6920614935792,12.2682596153846,0.345686842986274
"30","13140","Beaumont-Port Arthur, TX","midsized metros",133074,0.473417210928157,20586.074,42301.29,37674.904,20.8626165769231,20.4601928846154,14.8646030034366,0.317877947608098
"31","13220","Beckley, WV","small metros",33038,0.564228468224405,6658.002,15723.652,13830.822,21.3299583461538,21.8237782115385,14.6947614038462,0.475926266723167
"32","13380","Bellingham, WA","small metros",75103,0.442558935544521,9180,33095,18588,24.6496581730769,24.3214550113067,14.6883602692308,0.440661491551602
"33","13460","Bend-Redmond, OR","small metros",68342,0.433544141086945,8432,31023,16482,20.1984532075182,23.3302924949417,15.6600825384615,0.453937549383981
"34","13740","Billings, MT","small metros",71695,0.560736969420783,10316.284,28556.808,19308.933,21.7377347115385,23.4845417307692,13.8924960769231,0.398309617128112
"35","13780","Binghamton, NY","small metros",79415,0.532395206751009,12549.968,34237.728,23757.748,23.0779667422447,25.3698929354134,14.1361895576923,0.431124195680917
"36","13820","Birmingham-Hoover, AL","very large metros",450614,0.448784529559246,52855.808,151081.62,102915.384,21.4030031153846,21.1202120961538,14.6932373846154,0.335279463132526
"37","13900","Bismarck, ND","small metros",57398,0.313797068973516,5079.955,15148.292,9679.298,23.132425332543,22.2175019807692,14.0311604615385,0.263916721836998
"38","13980","Blacksburg-Christiansburg-Radford, VA","small metros",51196,0.377553040783505,4729.024,24881.323,9517.725,22.5022078275628,22.4681119227719,14.8742346153846,0.486001308695992
"39","14010","Bloomington, IL","small metros",76354,0.350470321115796,6483,22491,14789,26.8189642830639,27.0703436215531,14.2754355961538,0.294562170940619
"40","14020","Bloomington, IN","small metros",53709,0.425992425007915,6454.509,28755.938,11595.745,23.6126908509898,23.6134925576923,14.1723866730769,0.535402595468171
"41","14100","Bloomsburg-Berwick, PA","small metros",36923,0.504273570820981,3885.975,11012.22,6499.185,18.7333967307692,18.3967527884615,14.9604320384615,0.298248246350513
"42","14260","Boise City, ID","large metros",254357,0.402686214488379,32519.907,90704.165,71940.028,20.3268054326923,20.3268054326923,13.6355658269231,0.356601803764001
"43","14460","Boston-Cambridge-Newton, MA-NH","very large metros",2534539,0.326976733772679,330222.742,1118635.563,611551.501,26.6985478846154,26.3211381730769,17.6285070192308,0.441356618698706
"44","14500","Boulder, CO","midsized metros",153690,0.340474990955517,12696.547,51983.491,21552.948,24.903255880878,20.7328093269231,17.94733725,0.338236001041057
"45","14540","Bowling Green, KY","small metros",61626,0.494045663868508,9084.65,25796.234,18162.659,18.9464021634615,17.1262453527542,13.6450673846154,0.418593353454711
"46","14740","Bremerton-Silverdale, WA","midsized metros",59021,0.431528020427362,12844,32613,24610,23.253681625,23.7956752010444,14.7380952115385,0.55256603581776
"47","14860","Bridgeport-Stamford-Norwalk, CT","large metros",429679,0.37858363577011,118293,341892,221403,26.0544936538462,27.1509729807692,17.9706478269231,0.795691667500623
"48","15180","Brownsville-Harlingen, TX","midsized metros",107239,0.603645098730606,27391,55341,63768,19.33295492686,18.1865359230769,12.1038379807692,0.516052928505488
"49","15260","Brunswick, GA","small metros",35077,0.451646564763672,5778.956,15631.848,11663.816,24.7329440686514,22.0511785,14.8191953076923,0.445643812184622
"50","15380","Buffalo-Cheektowaga-Niagara Falls, NY","very large metros",482984,0.407689230481151,47899,130279,91723,22.1716388461538,22.6063698855679,13.8567240769231,0.269737713878721
"51","15500","Burlington, NC","small metros",59276,0.503009658905324,10780,25545,19436,22.3725428653846,22.3725428653846,14.5144624615385,0.430950131587826
"52","15540","Burlington-South Burlington, VT","small metros",102620,0.408683592354412,9151.243,34969.743,14494.667,21.8889299038462,18.9102026923077,17.8629382115385,0.340769274995128
"53","15680","California-Lexington Park, MD","small metros",32376,0.2647514859161,3393.144,10351.656,7545.288,27.2073074423077,27.1424126967072,16.8462035384615,0.319732394366197
"54","15940","Canton-Massillon, OH","midsized metros",150465,0.428300364520049,17624.56,44108.04,34562.56,18.667386225226,18.6794827400666,12.2582404038462,0.293144850962018
"55","15980","Cape Coral-Fort Myers, FL","large metros",216916,0.555553631420358,32081,105967,61343,22.1021915632788,19.9411782307692,15.0581054423077,0.488516292020874
